account_id,product_code,period,invoiced_quantity,invoiced_amount
acct_001,platform,2026-05,2731950,1585.97
acct_002,platform,2026-05,2888283,1664.14
acct_003,platform,2026-05,161299,49.04
acct_004,platform,2026-05,719659,495.73
acct_005,platform,2026-05,232244,105.8
acct_006,platform,2026-05,242201,72.66
acct_007,platform,2026-05,1580217,1010.11
acct_008,platform,2026-05,2604880,1522.44
acct_009,platform,2026-05,971132,696.91
acct_010,platform,2026-05,2428925,1434.46
acct_011,platform,2026-05,2310634,1375.32
acct_012,platform,2026-05,247620,118.1
acct_013,platform,2026-05,1650627,1045.31
acct_014,platform,2026-05,1476799,958.4
acct_015,platform,2026-05,1154733,797.37
acct_016,platform,2026-05,1618308,1029.15
acct_017,platform,2026-05,1572451,1006.23
acct_018,platform,2026-05,2284331,1362.17
acct_019,platform,2026-05,2311971,693.59
acct_020,platform,2026-05,1089791,764.9
